,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
407,Young the Giant,Superposition,67YPjbcxUypwNOwYBZquq1,71,0.00289,0.593,230960,0.697,0.0257,7,0.14,-5.416,1,0.0399,170.0,4,0.428
408,Normani,Waves (feat. 6LACK),2qHk6Nz5glNQrjW8Rhd5kv,73,0.415,0.578,215671,0.588,0.0,0,0.114,-4.92,0,0.255,79.174,5,0.3
409,Nicky Jam,X,39N9RPD9MRb5WmoLzNzPeA,80,0.0364,0.595,173628,0.773,0.00108,9,0.334,-4.736,0,0.0549,180.073,4,0.711
410,Shoffy,Cool Again,7tDqtZnEQcgAE92mEMtgnF,73,0.443,0.774,191935,0.45,3.28e-05,11,0.127,-6.86,1,0.0896,90.055,4,0.648
411,Morgan Evans,Kiss Somebody,4f3fb3alVLFc8Ga4ncpg7x,69,0.136,0.57,213183,0.684,0.0,6,0.205,-7.054,1,0.0465,89.012,4,0.531
412,Morgan Wallen,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y,70,0.0498,0.604,208280,0.879,0.0,4,0.0936,-3.389,1,0.0323,137.993,4,0.765
413,Demi Lovato,Sober,0STK94RxUulYqWzwFlyAb5,76,0.798,0.397,197893,0.303,4.16e-06,1,0.0824,-10.413,1,0.11,170.22,3,0.17
414,Lil Tjay,Long Time,6GiOnqCGSAlSFDJeE175If,71,0.0264,0.767,202520,0.492,0.0,5,0.311,-9.364,0,0.308,151.986,4,0.194
415,Clean Bandit,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,83,0.0441,0.737,222653,0.636,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,0.565
416,Adriel Favela,La Escuela No Me Gustó,4qArKIA7dnmdushoBlkV94,74,0.323,0.836,176000,0.766,1.18e-06,7,0.091,-6.229,0,0.0371,112.548,4,0.844
417,Mac Miller,Come Back to Earth,01z2fBGB8Hl3Jd3zXe4IXR,72,0.89,0.272,161840,0.238,0.00925,2,0.275,-12.148,0,0.0349,83.507,4,0.119
418,Migos,Notice Me,3OnOomd79OjqSYHchCQ6ht,72,0.104,0.796,233880,0.338,1.12e-06,5,0.165,-9.754,0,0.315,166.0,4,0.474
419,Post Malone,Otherside,4qWCFTuNnmGNdY4egtb4ZY,73,0.354,0.645,228227,0.657,5.17e-06,9,0.213,-5.688,0,0.0334,104.931,4,0.136
420,Kacey Musgraves,Slow Burn,6ET9kf9riLETWs9lePUEAI,70,0.462,0.555,246133,0.43,0.000191,2,0.0869,-9.105,1,0.0295,147.613,4,0.274
421,Gryffin,Tie Me Down (with Elley Duhé),4QVS8YCpK71R4FsxSMCjhP,73,0.135,0.548,218296,0.839,0.0,6,0.102,-2.371,1,0.0644,98.932,4,0.314
422,Rae Sremmurd,Guatemala - From Swaecation,0TCnOEVeLQMXOUrpPlM7uY,75,0.185,0.849,256341,0.699,0.00118,4,0.0954,-5.193,0,0.0574,100.989,4,0.0778
423,Devin Dawson,All on Me,2mfahQ0EaaZWq4cFNg6A1o,70,0.14,0.634,224627,0.668,0.0,5,0.216,-5.488,1,0.0291,80.989,4,0.635
424,Still Woozy,Habit,1M321puDN1WBd5NF0ogOKW,71,0.27,0.766,153857,0.402,0.0007,1,0.106,-11.155,1,0.107,125.107,4,0.466
425,Paulo Londra,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,88,0.323,0.767,258639,0.709,0.0,1,0.0676,-4.47,1,0.336,171.993,4,0.72
426,Bazzi,Dreams,6fZpcVRr45Z6fLtciswBBU,72,0.583,0.663,147021,0.666,3.85e-06,6,0.222,-5.441,1,0.125,159.983,4,0.605
427,Post Malone,Sugar Wraith,0MrRAUcB8AZiB9ue2VOBYe,74,0.26,0.6,228147,0.767,0.0,5,0.0979,-4.232,0,0.0868,164.079,4,0.291
